"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000104889.1",1.99961515016574e-08,-0.972195864812695,0.019,0.042,0.000468789775804857,"2","ENSG00000104889"
"ENSG00000150867.2",2.02162454565174e-08,0.654156431098761,0.104,0.074,0.000473949658482594,"2","ENSG00000150867"
"ENSG00000168393.1",2.05023438864771e-08,-0.914680970991725,0.028,0.053,0.000480656950074569,"2","ENSG00000168393"
"ENSG00000122862",2.1125388874512e-08,-0.301222524087512,0.369,0.423,0.000495263616774059,"2","ENSG00000122862"
"ENSG00000198796.2",2.12156491722102e-08,-1.83751136123412,0.009,0.027,0.000497379679193296,"2","ENSG00000198796"
"ENSG00000171681.1",2.14386612049353e-08,0.731366922640339,0.085,0.058,0.000502607973288504,"2","ENSG00000171681"
"ENSG00000101596.2",2.21718451499521e-08,0.558713076298598,0.139,0.104,0.000519796737695477,"2","ENSG00000101596"
"ENSG00000160999.1",2.22903848644404e-08,-1.74464773463489,0.006,0.022,0.00052257578276194,"2","ENSG00000160999"
"ENSG00000255856.1",2.25615528535023e-08,-2.38904053375427,0.003,0.016,0.000528933045097508,"2","ENSG00000255856"
"ENSG00000115267.1",2.33991035703689e-08,0.713713213417022,0.047,0.027,0.000548568584103728,"2","ENSG00000115267"
"ENSG00000163535.1",2.36896403331027e-08,-0.927126932112137,0.017,0.039,0.00055537992796926,"2","ENSG00000163535"
"ENSG00000132334.2",2.37570420002003e-08,0.990683569750719,0.04,0.022,0.000556960092652696,"2","ENSG00000132334"
"ENSG00000100387.1",2.47267989847778e-08,-0.450612117771831,0.099,0.139,0.000579695075399131,"2","ENSG00000100387"
"ENSG00000077152.1",2.5856299167119e-08,-0.98688404964923,0.021,0.044,0.000606175077673938,"2","ENSG00000077152"
"ENSG00000010278.1",2.65191387441033e-08,-1.60186379765955,0.007,0.023,0.000621714688716758,"2","ENSG00000010278"
"ENSG00000196839.1",2.68744232306894e-08,-1.14254654600435,0.022,0.044,0.000630043978220283,"2","ENSG00000196839"
"ENSG00000233355",2.69268409503781e-08,1.69082314863428,0.012,0.004,0.000631272859240664,"2","ENSG00000233355"
"ENSG00000072571.1",2.70173714245755e-08,-0.810831933965602,0.042,0.071,0.000633395255677749,"2","ENSG00000072571"
"ENSG00000070159",2.77620354067228e-08,1.85462899256806,0.011,0.003,0.00065085315807521,"2","ENSG00000070159"
"ENSG00000243927.1",2.79392883879282e-08,-0.550277748981059,0.064,0.097,0.000655008676966589,"2","ENSG00000243927"
"ENSG00000241163.1",2.82794059790047e-08,-2.010188972585,0.006,0.021,0.000662982393771787,"2","ENSG00000241163"
